label,study_and_condition
1, irinotecan pilocytic astrocytoma diagnosis patients who unable take oral medications because significant vomiting will be excluded
1, fludarabine stage ii contiguous adult diffuse large cell lymphoma diagnosis fungal infections radiological progression after receipt amphotericin active triazole greater one month
0, docetaxel ovarian cancer diagnosis no concurrent amifostine
0, tamoxifen breast cancer diagnosis concurrent use anti depressant such paxil prozac effexor is allowed if participant has been on stable dose more month purpose medication is other control hot flushes
1, everolimus recurrent colon cancer diagnosis impairment gastrointestinal function gastrointestinal disease that may significantly alter absorption radone ulcerative disease uncontrolled nausea vomiting diarrhea malabsorption syndrome small bowel resection
1, lenograstim metastatic malignant neoplasm diagnosis history severe immediate hypersensitivity reaction any agents used this study
0, lenograstim testicular choriocarcinoma embryonal carcinoma diagnosis no dyspnea at rest
1, folic acid stage iib fallopian tube cancer diagnosis myocardial infarction stroke within previous six months
0, mitogens unspecified adult solid tumor protocol specific diagnosis at least four weeks since prior immunotherapy
0, conventional surgery breast cancer diagnosis menopausal status not specified
0, vaccines lymphoma diagnosis performance status
0, hemi gland focal ldr brachytherapy cancer prostate diagnosis prostate volume less fiftycc
1, questionnaires pediatric cancers diagnosis participant parent child unwillingness participate any capacity
0, albumin bound paclitaxel non small cell lung cancer diagnosis absolute neutrophil count greater one zero zero mmthree
0, thalidomide transformed recurrent non hodgkin lymphoma diagnosis phase i
1, antibodies monoclonal recurrent cervical carcinoma diagnosis treatment systemic immunostimulatory agents including but not limited interferon ifn alpha interleukin il two within six weeks five half lives drug whichever is shorter prior cycle one day one
1, cytarabine mantle cell lymphoma diagnosis prolonged qtc
1, darbepoetin alfa diffuse large cell lymphoma diagnosis history previously treated seizures allowed provided patient has been seizure free minimum three months
0, immunoglobulin g ovarian clear cell adenocarcinoma diagnosis doc uln unless participant is receiving anticoagulant therapy long pt ptt is within therapeutic range intended use anticoagulants
0, cisplatin carcinoma non small cell lung diagnosis alkaline phosphatase less two five uln less five uln case bone metastases
0, immunoglobulins stage ivc lip oral cavity squamous cell carcinoma diagnosis platelets greater equal one hundred zero mcl
0, liposomal doxorubicin malignant mesothelioma diagnosis signed informed consent
0, bb lymphoma diagnosis must meet one following criteria
1, antibodies monoclonal recurrent adult diffuse large cell lymphoma diagnosis donor
1, doxorubicin recurrent platinum sensitive ovarian cancer diagnosis any previous radiotherapy abdomen pelvis
1, cadexomer iodine stage ivc thyroid gland papillary carcinoma diagnosis megestrol megace if used an appetite stimulant is allowed thyroid stimulating hormone tsh suppressive therapy is also allowed palliative radiation therapy non target lesions is also allowed
1, melphalan use any other concomitant standard experimental anti myeloma drug therapy
1, radiation chemotherapy melanoma diagnosis presence metallic objects implanted medical devices body cardiac pacemaker aneurysm clips surgical clips prostheses artificial hearts valves steel parts metal fragments shrapnel tattoos near eye steel implants craniotomy patients will all have titanium but this is mri compatible
1, vadimezan urothelial carcinoma diagnosis no treatment any investigational agent chemotherapeutic agent within thirty days prior registration protocol therapy
0, albumin bound paclitaxel recurrent primary peritoneal carcinoma diagnosis neutrophil count greater equal doc ten nine l
1, curcumin prostate cancer diagnosis radiation therapy primary treatment after surgery
1, cisplatin patients who have received prior chemotherapy any abdominal pelvic tumor excluded
1, niacinamide breast cancer diagnosis craniotomy any other major surgery open biopsy significant traumatic injury within four weeks enrollment
1, ispinesib adult grade iii lymphomatoid granulomatosis diagnosis inducers cypthreeafour
1, folic acid stage iiic breast cancer diagnosis pregnant women
0, anastrozole stage iv breast cancer diagnosis patient agrees participate imaging protocol seven thousand one hundred eighty four is separately consented
1, carboplatin ovarian cancer diagnosis current prior use immunosuppressive medication within twenty eight days before first dose durvalumab exceptions intranasal inhaled corticosteroids systemic corticosteroids at physiological doses which not exceed ten mg day prednisone an equivalent corticosteroid
0, albumin bound paclitaxel recurrent breast carcinoma diagnosis patients will be assigned arm arm depending on their prior exposure paclitaxel eribulin
0, carboplatin ovarian cancer diagnosis hemoglobin greater equal teng dl
1, antibodies breast neoplasms diagnosis known active tuberculosis
1, cisplatin neuroblastoma diagnosis children inss four disease age less eighteen months all three favorable biologic features non amplified mycn favorable pathology dna index greater one
0, docetaxel prostate cancer diagnosis creatinine less doc times uln
1, bevacizumab stage iiib primary peritoneal cancer diagnosis major surgical procedure anticipated during course this includes but is not limited abdominal surgery laparotomy laparoscopy prior disease progression such colostomy enterostomy reversal secondary cytoreductive surgery second look surgery please consult sdc randomization desk prior patient entry any questions related classification surgical procedures
0, antibodies monoclonal stage iv renal cell cancer diagnosis no active brain metastases
0, pembrolizumab ovarian endometrioid adenocarcinoma diagnosis serum total bilirubin
0, everolimus pancreatic delta cell adenoma diagnosis radiolabeled octreotide therapy patients prior radiolabeled octreotide therapy should have progressive disease after such therapy
1, panobinostat adult nasal type extranodal nk cell lymphoma diagnosis pregnant women women reproductive ability who unwilling use effective contraception
0, paclitaxel stage iiib non small cell lung cancer diagnosis eighteen fluorodeoxyglucose pet is required staging treatment planning
1, dexamethasone multiple myeloma diagnosis glucocorticoid therapy prednisolone greater thirtymg day equivalent within fourteen days prior informed consent obtained
1, adaptive radiotherapy non small cell lung cancer diagnosis metastatic disease
0, fludarabine phosphate recurrent mantle cell lymphoma diagnosis life expectancy
1, amoxicillin astrocytic tumors diagnosis have radiographic clinically significant pleural effusion
1, azacitidine pancreatic ductal adenocarcinoma diagnosis patients any significant history non compliance medical regimens inability grant reliable informed consent
1, capecitabine breast cancer recurrent diagnosis concomitant use immunosuppressive agents chronic use systemic corticosteroids
0, succinylcholine endometrial serous adenocarcinoma diagnosis white blood cell wbc greater equal three zero mcl
1, fluorouracil pancreatic adenocarcinoma diagnosis anti mycobacterial
1, paclitaxel cancer diagnosis patients known leptomeningeal metastases excluded even if treated
1, melphalan recurrent skin cancer diagnosis patients known heparin induced thrombocytopenia
1, th cells allo hsctt multiple myeloma diagnosis patient
1, bb multiple myeloma diagnosis patients who have had myocardial infarction six months prior inclusion this who class iii iv according new york heart association nyha functional classification system heart failure unstable angina uncontrolled ventricular arrhythmias acute ischemia detected by electrocardiogram nervous system disorders
1, albumin bound paclitaxel gastrointestinal stromal tumors diagnosis patients stable chronic viral hepatitis eligible acceptable
1, thiotepa stage iiib breast cancer diagnosis patients will not receive il two gm csf therapy if they
1, rituximab aids related plasmablastic lymphoma diagnosis participants who have received more one one prior cycle chemotherapy similar cyclophosphamide doxorubicin hydrochloride vincristine sulfate prednisone chop epoch without rituximab
1, pazopanib advanced metastatic neuroendocrine tumors diagnosis hemoptysis excess doc ml within eight weeks first dose drug
1, poly i c patients must have no plans receive concurrent chemotherapy hormonal therapy radiotherapy immunotherapy any other type therapy treatment cancer while on this protocol treatment
0, imatinib mesylate stage iv melanoma diagnosis no known untreated brain epidural metastases
0, vorinostat nodal marginal zone cell lymphoma diagnosis patients abnormal liver function will be eligible
0, vaccines melanoma skin diagnosis ast alt less doc times uln
0, antilymphocyte serum noncontiguous stage ii adult diffuse small cleaved cell lymphoma diagnosis advanced polycythemia vera not responding standard therapy
0, thiotepa fallopian tube cancer diagnosis sgot sgpt less doc times normal
0, lenalidomide stage iii multiple myeloma diagnosis one hundred twenty days post sct no evidence relapse progression prior registration
1, paclitaxel stage iiib fallopian tube cancer diagnosis patients acute hepatitis active infection that requires parenteral antibiotics
1, antibodies monoclonal colorectal cancer diagnosis recent myocardial infarction within past year participant who at time screening presents unstable uncontrolled angina new york heart association class iii iv congestive heart failure uncontrolled hypertension clinically significant cardiac dysrhythmia clinically significant electrocardiogram abnormality
0, topotecan childhood solid tumor diagnosis agents that have known adverse events occurring beyond seven days after administration this period must be extended beyond time during which adverse events known occur
0, fludarabine childhood nasal type extranodal nk cell lymphoma diagnosis low grade nhl less six months duration complete remission cr between courses conventional therapy
1, bevacizumab glioblastoma diagnosis patients body mass index bmi greater thirty five less twenty
1, sirolimus carcinoma renal cell diagnosis patients who have previously received systemic mtor inhibitors
0, cisplatin stage iv squamous cell carcinoma lip oral cavity diagnosis negative pregnancy test within two weeks prior registration women childbearing potential
1, questionnaire administration transformed recurrent non hodgkin lymphoma diagnosis received wide field radiotherapy equal less twenty eight days limited field radiation palliation equal less fourteen days prior registration who have not recovered from side effects such therapy
0, bevacizumab stage iiic breast cancer diagnosis patients must not have had any major surgical procedure within twenty eight days planned treatment start date
0, asn dose part b prostatic cancer diagnosis progressive disease despite ongoing androgen deprivation therapy
0, antibodies monoclonal recurrent salivary gland cancer diagnosis creatinine equal less doc mg dl
1, antibodies monoclonal refractory small lymphocytic lymphoma diagnosis patient has known history human immunodeficiency virus hiv infection testing not mandatory
1, gmx solid tumors lymphomas diagnosis no other agents therapies administered intent treat malignancy
0, tirapazamine stage iia cervical cancer diagnosis negative pregnancy test
1, proton radiation low grade glioma diagnosis prior cranial radiation therapy
1, liposomal doxorubicin adult cell leukemia lymphoma
1, paclitaxel stage iv ampulla vater cancer diagnosis active uncontrolled bleeding
1, bevacizumab ovarian clear cell adenocarcinoma diagnosis patients that have had primary therapy brain metastasis surgical resection whole brain radiation stereotactic radiotherapy srt even if stable not eligible
1, antibodies monoclonal metastatic colorectal cancer diagnosis prior anti epidermal growth factor receptor egfr antibody therapy treatment small molecule egfr inhibitors
1, sirolimus advanced solid tumors diagnosis patients who have previously received mtor inhibitors pithreek inhibitors
0, antibodies monoclonal recurrent ewing sarcoma peripheral primitive neuroectodermal tumor diagnosis sgpt alt less one hundred ten l purpose this uln sgpt is forty five l
0, bortezomib stage iv adenoid cystic carcinoma oral cavity diagnosis not pregnant nursing
1, immunoglobulins stage ivb colorectal cancer diagnosis current prior use immunosuppressive medication within fourteen days before first dose their assigned ip following exceptions this criterion
1, paclitaxel carcinoma non small cell lung diagnosis anticipation need major surgical procedure radiation therapy during study
1, irinotecan metastatic colorectal cancer diagnosis history hypertension not well controlled greater one hundred sixty ninety even though on regimen anti hypertensive therapy
0, erlotinib hydrochloride a documented somatic activating mutation egfr including but not limited exon nineteen deletion leight hundred fifty eightr
0, everolimus tongue carcinoma diagnosis absolute neutrophil count greater equal one five hundred mcl
1, autologous hematopoietic stem cell transplantation recurrent grade two follicular lymphoma diagnosis research participants will be excluded who opinion investigator may not be able comply safety monitoring requirements study
0, lomustine stage iii aids related lymphoma diagnosis direct bilirubin greater doc mg dl two doc um l
0, cyclophosphamide lymphoma diagnosis not specified
0, gefitinib insular thyroid cancer diagnosis agc greater equal one five hundred ul
0, sulindac colorectal cancer diagnosis porta hepatis lymph node metastases
0, cetuximab colorectal cancer diagnosis fertile patients must use effective contraception
1, quality life assessment stage ii adenoid cystic carcinoma oral cavity diagnosis presence medical conditions contraindicating general anesthesia transoral surgical approaches
0, cisplatin this includes choroid plexus papilloma atypical choroid plexus papilloma anaplastic choroid plexus papilloma malignant choroid plexus papilloma choroid plexus carcinoma
0, oxaliplatin lung cancer diagnosis histologically cytologically confirmed recurrence nsclc after curative therapy surgery adjuvant neoadjuvant chemotherapy
0, endothelial growth factors primary peritoneal high grade serous adenocarcinoma diagnosis absolute neutrophil count anc greater equal one five hundred mcl
1, prednisone diffuse large cell lymphoma diagnosis history prior allogeneic bone marrow progenitor cell solid organ transplantation
1, tegafur gastroesophageal cancer diagnosis prior chemotherapy radiotherapy
0, docetaxel small intestine cancer diagnosis performance status
1, mitogens non small cell lung cancer diagnosis subject is pregnant breast feeding planning become pregnant within six months after last dose protocol specified therapy administration
1, lenalidomide stage iii adult diffuse mixed cell lymphoma diagnosis use hematopoietic growth factor including filgrastim pegfilgrastim sargramostim erythropoietin darbepoetin within fourteen days prior baseline
1, carboplatin adenocarcinoma gastroesophageal junction diagnosis palpable supraclavicular nodes biopsy proven involvement supraclavicular nodes radiographically involved supraclavicular nodes greater doc cm greatest dimension
1, etoposide recurrent adult grade iii lymphomatoid granulomatosis diagnosis prior autologous allogeneic transplantation
1, vidarabine childhood burkitt lymphoma diagnosis donor
0, fluorouracil stage ivc lip oral cavity squamous cell carcinoma diagnosis patients must not have any co existing condition that would preclude full compliance study
0, cisplatin testicular choriocarcinoma yolk sac tumor diagnosis doc mg dl patients two five years age
0, busulfan non hodgkin lymphoma diagnosis serum creatinine less doc mg dl if serum creatinine greater doc mg dl then estimated glomerular filtration rate gfr must be greater sixty ml min doc three mtwo calculated by modification diet renal disease equation
0, capecitabine colorectal cancer diagnosis greater four weeks must have elapsed from completion previous chemotherapy patients must have recovered from any related toxicities
0, vaccines anaplastic ependymoma diagnosis adequate renal function normal creatinine age glomerular filtration rate greater seventy mls min doc three mtwo
1, cisplatin stage iic ovarian cancer diagnosis no poorly differentiated subtypes including papillary serous clear cell other international federation gynecology obstetrics figo grade three lesions
0, immunoglobulins endometrial adenosquamous cell carcinoma diagnosis not nursing
0, doxorubicin melanoma diagnosis stable decreasing dosage steroids dexamethasone seven days prior baseline mri non enzyme inducing anti epileptic drugs is allowed
1, lenalidomide contiguous stage ii adult burkitt lymphoma diagnosis known hypersensitivity thalidomide
1, mycophenolic acid ds stage ii plasma cell myeloma diagnosis positive anti donor hla antibody
1, etoposide stage ii diffuse large cell lymphoma diagnosis uncontrolled intercurrent illness including but not limited active infection poorly controlled hypertension diabetes mellitus other serious medical psychiatric conditions that could interfere adherence completion this study
0, mesna lymphoma diagnosis see disease characteristics
1, antibodies somatostatinoma diagnosis patients allowed have zero trace one positive protein by urine dipstick urinalysis enroll if greater equal two positive must check two h urine protein must be less oneg start study
1, salmonella typhimurium cancer liver diagnosis any other condition which investigator opinion renders patient at high risk overwhelming infection
1, antibodies monoclonal recurrent adult soft tissue sarcoma diagnosis patients who previously received craniospinal irradiation ineligible
1, laboratory biomarker analysis cutaneous cell non hodgkin lymphoma diagnosis sgot sgpt greater equal five uln liver biopsy preferred such patients
1, musculoskeletal complications management prevention stage iii mantle cell lymphoma diagnosis any prior history central nervous system cns hemorrhage
0, biologically based therapies stage iv mantle cell lymphoma diagnosis karnofsky sixty one hundred
0, bevacizumab non small cell lung cancer diagnosis this response does not have be confirmed order patient be randomized however unconfirmed responses will be stratified stable disease strata
1, bevacizumab stage iva uterine corpus cancer diagnosis prior treatment sorafenib other vascular endothelial growth factor vegf inhibitors note
0, levoleucovorin colorectal cancer diagnosis no predisposing colonic small bowel disorders which symptoms uncontrolled indicated by baseline pattern greater three watery soft stools daily patients without colostomy ileostomy
0, cisplatin carcinoma non small cell lung diagnosis adequate organ function
0, irinotecan stage ivc squamous cell carcinoma paranasal sinus nasal cavity diagnosis patients must have ecog performance status zero one
0, polystyrene sulfonic acid lymphoma diagnosis has potentially suitable human leukocyte antigen hla haploidentical donor available
0, podophyllotoxin peripheral primitive neuroectodermal tumor soft tissues diagnosis maximum serum creatinine mg dl
0, antibodies monoclonal stage iv ovarian epithelial cancer diagnosis no concurrent autoimmune diseases requiring chronic use immunosuppressive medications active connective tissue disease cns disease including multiple sclerosis demyelinating disease inflammatory bowel disease autoimmune hepatitis
1, paclitaxel breast cancer diagnosis prolonged qtc interval on pre entry electrocardiogram four hundred fifty msec
1, antibodies recurrent rectal carcinoma diagnosis pregnant women excluded from this breastfeeding should be discontinued if mother is treated either agent
1, laboratory assay ovarian neoplasms diagnosis patients meningeal metastasis
1, vorinostat stage iv mantle cell lymphoma diagnosis patients known be human immunodeficiency virus hiv positive
0, laboratory biomarker analysis recurrent childhood brain tumor diagnosis pulse oximetry greater ninety four if determination is clinically indicated
1, cetuximab signet ring adenocarcinoma colon diagnosis anticipation need major surgical procedures during course study
1, thalidomide pancreatic cancer diagnosis serum creatinine greater doc mg dl two hundred twenty one μmol l
0, exemestane estrogen receptor positive breast cancer diagnosis pregnancy testing does not need be pursued patients who judged postmenopausal before randomization determined by local practice who have undergone bilateral oophorectomy total hysterectomy bilateral tubal ligation
0, carboplatin ovarian cancer diagnosis procainamide disopyramide
0, vaccines hormone refractory prostate cancer diagnosis age greater equal eighteen yrs phase iia less equal seventy five yrs phase iia only
0, cisplatin teratoma diagnosis surgery
1, pembrolizumab esophageal cancer diagnosis congestive heart failure
1, veliparib recurrent small cell lung carcinoma diagnosis pregnant women excluded from this breastfeeding should be discontinued if mother is treated abt eight hundred eighty eight these potential risks also apply temozolomide
1, dasatinib malignant pleural mesothelioma diagnosis clinically significant coagulation platelet function disorder known von willebrand disease any disease which requires persistent anticoagulation therapy patient may not be taken off anti coagulation safely coumadin factor xa inhibitors heparin low molecular weight standard
1, camptothecin pancreatic cancer diagnosis prior chemotherapy
1, everolimus patients bladder cancer bladder cancer their medical history patients risk factors bladder cancer such exposure aromatic amines heavy tobacco smokers macrohematuria unknown origin
1, antibodies recurrent melanoma diagnosis persons reproductive potential must agree use an adequate method contraception throughout treatment at least eight weeks after ipilimumab is stopped sexually active wocbp must use an effective method birth control during course manner such that risk failure is minimized before enrollment wocbp must be advised importance avoiding pregnancy during participation potential risk factors an unintentional pregnancy all wocbp must have negative pregnancy test before first receiving ipilimumab if pregnancy test is positive patient must not receive ipilimumab must not be enrolled study
0, doxorubicin patients tumors determined be three positive on ihc amplified hertwo by fish ineligible
1, heparin low molecular weight massive tumor greater twenty cm greatest dimension
1, trastuzumab estrogen receptor positive breast cancer diagnosis lack physical integrity upper gastrointestinal tract malabsorption syndrome
1, doxorubicin leiomyosarcoma diagnosis myocardial infarction within past twelve months stable unstable angina
1, laboratory biomarker analysis stage iii prostate adenocarcinoma diagnosis bone scan within one hundred twenty days prior registration if bone scan is suspicious plain ray mri must be obtained rule out metastasis prior registration
0, carboplatin stage ib ovarian cancer diagnosis patients must be free active infection requiring antibiotics
1, cediranib primary peritoneal serous adenocarcinoma diagnosis prior treatment trastuzumab
1, heptavalent pneumococcal conjugate vaccine mantle cell lymphoma diagnosis coagulopathy including use coumadin heparin anticoagulants that cannot be discontinued cryoablation procedure note
0, budesonide formoterol fumarate drug combination lung cancer diagnosis willing undergo bronchoscopy
1, laboratory biomarker analysis extranodal marginal zone lymphoma mucosa associated lymphoid tissue diagnosis history class class cirrhosis per modified child pugh classification
0, vaccines adenocarcinoma colon diagnosis no prior splenectomy
0, alvocidib stage iiia primary peritoneal cavity cancer diagnosis may be supported transfusion epoetin alfa darbepoetin alfa
1, oxaliplatin pancreatic neoplasm diagnosis known hypersensitivity cetuximab other egfr antibody
1, bortezomib myelodysplastic myeloproliferative neoplasms diagnosis ecg abnormality that is medically relevant
0, cisplatin carcinoma unknown primary diagnosis wbc at least three zero mmthree absolute neutrophil count at least one five hundred mmthree platelet count at least one zero mmthree hemoglobin at least one dl hepatic
1, metformin stage ii oropharyngeal squamous cell carcinoma diagnosis spirits
1, poly adp ribose polymerase inhibitors recurrent childhood supratentorial primitive neuroectodermal tumor diagnosis one mg dl maximum serum creatinine
1, albumin bound paclitaxel carcinoma squamous cell diagnosis previous neuropathy two higher
0, tipifarnib multiple myeloma diagnosis male subject agrees use an acceptable method contraception duration study
0, carboplatin undifferentiated ovarian carcinoma diagnosis partial thromboplastin time ptt equal less doc uln heparin low molecular weight heparin alternative anticoagulants acceptable
0, vidarabine recurrent adult immunoblastic large cell lymphoma diagnosis creatinine less doc
0, mitoxantrone prostate cancer diagnosis no hiv positivity
0, fludarabine small intestine cancer diagnosis pulmonary
0, antibodies colon cancer diagnosis inclusion
1, irinotecan neuroblastoma recurrent diagnosis impaired liver function impaired renal function hepatic renal index parameter two times above normal range see below
1, fluorouracil serious unrelated illness prior invasive malignancy at any other site except adequately treated nonmelanomatous skin cancer pregnant nursing women adequate contraception required
0, octreotide pancreatic cancer diagnosis biologic therapy
0, rituximab lymphoma diagnosis no concurrent cisplatin
1, pharmacological recurrent adult soft tissue sarcoma diagnosis surgical other wounds must be adequately healed prior enrollment
1, bevacizumab hertwo negative breast cancer diagnosis new york heart association nyha grade ii greater congestive heart failure
0, dexamethasone acetate has confirmed diagnosis active multiple myeloma measurable disease
1, immunoglobulins recurrent esthesioneuroblastoma paranasal sinus nasal cavity diagnosis pregnant women excluded from this breastfeeding should be discontinued if mother is treated erlotinib cetuximab
1, vincristine non brain tumor patients who have previously received temozolomide ineligible
0, camptothecin stage iic rectal cancer diagnosis absolute neutrophil count greater equal one thousand five hundred mmthree
1, camptothecin lung neoplasms diagnosis pregnant women excluded from this because crlxone hundred one olaparib agents potential teratogenic abortifacient effects
1, compliance monitoring stage iiib ovarian cancer diagnosis patients life expectancy less one year
0, laboratory biomarker analysis malignant ovarian brenner tumor diagnosis hemoglobin hgb greater equal doc dl
0, methylprednisolone hemisuccinate multiple myeloma plasma cell neoplasm diagnosis acute lymphoblastic leukemia meeting one following criteria
0, antibodies stage grade one follicular lymphoma diagnosis prior rituximab other monoclonal immunotherapy permitted eligible rituximab monotherapy
1, fluorophosphate rectal neoplasms diagnosis subject who is unable discontinue warfarin anticoagulation five days before surgery
1, photodynamic therapy stage follicular thyroid cancer diagnosis has not recovered from toxicity prior therapy
1, antibodies monoclonal grade iii meningioma diagnosis female patients who pregnant nursing not eligible
0, cilengitide extranodal marginal zone cell lymphoma mucosa associated lymphoid tissue diagnosis no concurrent anticoagulation therapy that increases inr aptt above normal range
0, zoledronic acid multiple myeloma diagnosis have adequate renal function defined by creatinine clearance greater forty ml min measured estimated by cockcroft gault formula
1, hydroxyitraconazole non small cell lung cancer alk positive diagnosis active unstable cardiac disease heart attack within three months starting treatment
0, cisplatin oral cancer diagnosis at least one un negative bi dimensionally measurable lesion
1, genistein ewing sarcoma diagnosis any condition investigator opinion that would compromise patient safety outcomes
1, cyclosporine recurrent mantle cell lymphoma diagnosis must have received prior chemotherapy consolidation chemotherapy by autografting prior nonmyeloablative hct is permitted
1, tacrolimus stage iv adult diffuse mixed cell lymphoma diagnosis history allergic reactions attributed compounds similar chemical biologic composition vorinostat
0, laboratory biomarker analysis stage iii squamous cell carcinoma larynx diagnosis negative pregnancy test
0, cyclosporine angioimmunoblastic cell lymphoma diagnosis human leukocyte antigen hla genotypically phenotypically identical related donor
1, carboplatin non small cell lung cancer diagnosis radiation therapy within two weeks before abx egf infusion
1, cetuximab solid tumors diagnosis prior concurrent therapy
1, dexamethasone phosphate concurrent hematologic non hematologic malignancy requiring treatment other multiple myeloma secondary amyloidosis
0, antibodies monoclonal stage iva colon cancer diagnosis patients may have received prior cetuximab
1, paclitaxel breast neoplasms diagnosis subject has severe cardiac insufficiency nyha iii iv uncontrolled unstable cardiac coronary artery disease
0, dexamethasone acetate multiple myeloma diagnosis or
0, albumin bound paclitaxel ovarian cancer diagnosis endocrine therapy
0, immunoglobulins recurrent breast carcinoma diagnosis total bilirubin equal less doc mg dl
1, cyclosporine stage ii childhood large cell lymphoma diagnosis karnofsky score less seventy adult patients
1, endothelial growth factors stage iiia breast cancer diagnosis patients evidence metastatic disease
0, bevacizumab glioblastoma multiforme diagnosis and
0, temozolomide childhood high grade cerebellar astrocytoma diagnosis bone marrow transplant
1, laboratory biomarker analysis stage iiia ovarian cancer diagnosis prisoners subjects who compulsorily detained involuntarily incarcerated treatment either psychiatric medical infectious illness
0, laboratory biomarker analysis recurrent adult brain tumor diagnosis absolute granulocyte count at least one five hundred mm three
1, rabeprazole advanced cancer diagnosis anti platelet agents prohibited throughout study
0, annual screening lung cancer diagnosis not specified life expectancy
0, bevacizumab fallopian tube cancer diagnosis hepatic function
1, hiv protease inhibitors pancreatic adenocarcinoma diagnosis patients receiving following drugs will be clinically evaluated whether dosage medication can be changed permit patient on study
1, melphalan stage iv mantle cell lymphoma diagnosis alanine aminotransferase alt aspartate aminotransferase ast greater equal four times upper limits normal
1, cyclophosphamide breast neoplasms diagnosis patients history severe hypersensitivity reaction docetaxel other drugs formulated polysorbate eighty excluded from participation
0, albumin bound paclitaxel advanced cancers diagnosis patients must have normal organ marrow function defined below
1, ascorbic acid cancer diagnosis wilson disease
0, cyclosporins recurrent burkitt lymphoma diagnosis expressing cdtwenty antigen have failed at least one prior standard systemic therapy
0, albumin bound paclitaxel stage iv breast cancer diagnosis having relapsed during within twelve months completing adjuvant paclitaxel docetaxel
0, levoleucovorin gallbladder cancer diagnosis ecog performance status zero one
1, dexamethasone patient was treated cancer other multiple myeloma within five years before enrollment exception basal cell carcinoma cervical cancer situ
0, mifepristone recurrent breast cancer diagnosis and progesterone receptor pr positive must have developed metastatic disease while on adjuvant hormonal therapy have progression disease after at least one hormonal therapy advanced disease may have received unlimited prior hormonal therapies
1, vincristine doc prior dose adjusted epoch pomalidomide treatment kshv associated lymphoma
1, cetuximab salivary gland squamous cell carcinoma diagnosis patients diarrhea greater equal ctcae vfour grade two
0, clavulanic acids lymphoma diagnosis eighteen over
0, cyclosporins recurrent adult cell leukemia lymphoma diagnosis myeloproliferative syndromes
0, molecular mechanisms pharmacological action hepatocellular carcinoma recurrent diagnosis adequate hematologic hepatic renal function
0, donor nk cell infusion cns tumors diagnosis diagnoses include
1, antibodies monoclonal urothelial carcinoma diagnosis however stable atrial fibrillation controlled medically device pacemaker prior ablation is allowed
1, sorafenib recurrent squamous cell carcinoma lip oral cavity diagnosis evidence history bleeding diathesis coagulopathy
1, nivolumab melanoma diagnosis patients excluded if they have active brain metastases leptomeningeal metastases
1, pembrolizumab penile squamous cell carcinoma diagnosis has known active hepatitis hbsag reactive hepatitis hcv rna qualitative is detected
0, cyclophosphamide breast cancer diagnosis patients must be greater eighteen years age
0, cyclosporine noncontiguous stage ii adult immunoblastic large cell lymphoma diagnosis absence ph positive metaphases
0, immunoglobulins acoustic schwannoma diagnosis patient must be able comply follow up procedures
1, fulvestrant hormone receptor positive tumor diagnosis patients known history hiv seropositivity
0, interferon alpha hematological neoplasms diagnosis disease relapse after allo hsct including hematological relapse molecular relapse
1, hpph stage ii adenoid cystic carcinoma oral cavity diagnosis platelet count less one hundred zero
1, e notes myoma diagnosis greater five fibroids sized threecm more
1, doxorubicin stage iv mantle cell lymphoma diagnosis patients must not have history cardiac disease defined new york heart association class ii greater clinical evidence congestive heart failure all patients must have muga scan two dimensional echocardiogram indicating an ejection fraction greater equal forty five within two days prior registration method used at baseline must be used later monitoring
0, pembrolizumab stage iva hepatocellular carcinoma diagnosis if hematologic equal less grade three and
1, leucovorin stage iva colorectal cancer diagnosis corrected qt qtc interval greater four hundred seventy msec females greater four hundred fifty msec males
0, cyclophosphamide recurrent childhood small noncleaved cell lymphoma diagnosis age greater equal sixty
1, carboplatin fallopian tube cancer diagnosis any existing grade two above drug related neurotoxicity due prior treatment agents causing neurotoxicity
0, erlotinib hydrochloride stage ii squamous cell carcinoma oropharynx diagnosis platelets greater equal one hundred zero
0, everolimus gastrinoma diagnosis signed informed consent
0, mycophenolate mofetil stage iii adult burkitt lymphoma diagnosis donor must consent filgrastim csf administration leukapheresis
1, lenograstim recurrent adult immunoblastic large cell lymphoma diagnosis donor
0, capecitabine gallbladder large cell neuroendocrine carcinoma diagnosis prior malignancy cured by non surgical modalities patient has been continuously disease free greater five years
1, carboplatin patients history ipsilateral lobular carcinoma situ lcis eligible
0, sirolimus stage iii endometrial carcinoma diagnosis myocardial infarction within past six months congestive heart failure even if medically controlled unstable angina active cardiomyopathy cardiac arrhythmia uncontrolled hypertension
1, paclitaxel lung cancer diagnosis patients receiving lithium fluconazole
1, mri targeted focal thermal therapy prostate cancer prostate cancer diagnosis chronic acute prostititis neuroginic bladder urinary tract infection sphincter abnormalities any other symptom that prevents normal micturition
0, fludarabine phosphate noncontiguous stage ii adult immunoblastic large cell lymphoma diagnosis hla phenotypically identical unrelated donor match grades allowed
1, vorinostat stage iv non small cell lung cancer diagnosis hiv positive patients receiving combination antiretroviral therapy ineligible
0, talimogene laherparepvec stage iib soft tissue sarcoma diagnosis ability understand willingness sign written informed consent document
1, diagnostic cervical cancer screening tests pap smear hpv p cervical cancer diagnosis women who have had pap smears within previous ten months
1, antibodies monoclonal stage ivb cervical cancer diagnosis treatment any other investigational agent within four weeks prior cycle one day one within five half lives investigational product whichever is longer
